2026-02-07 12:37:35 status half-installed libsqlite3-0:amd64 3.46.1-7
2026-02-07 12:37:35 status unpacked libsqlite3-0:amd64 3.46.1-7
2026-02-07 12:37:35 install libssl3t64:amd64 <none> 3.5.4-1~deb13u1
2026-02-07 12:37:35 status half-installed libssl3t64:amd64 3.5.4-1~deb13u1
2026-02-07 12:37:35 status unpacked libssl3t64:amd64 3.5.4-1~deb13u1
2026-02-07 12:37:35 install libstdc++6:amd64 <none> 14.2.0-19
2026-02-07 12:37:35 status half-installed libstdc++6:amd64 14.2.0-19
2026-02-07 12:37:35 status unpacked libstdc++6:amd64 14.2.0-19
2026-02-07 12:37:35 install libsystemd0:amd64 <none> 257.9-1~deb13u1
2026-02-07 12:37:35 status half-installed libsystemd0:amd64 257.9-1~deb13u1
2026-02-07 12:37:35 status unpacked libsystemd0:amd64 257.9-1~deb13u1
2026-02-07 12:37:35 install libtinfo6:amd64 <none> 6.5+20250216-2
2026-02-07 12:37:35 status half-installed libtinfo6:amd64 6.5+20250216-2
2026-02-07 12:37:36 status unpacked libtinfo6:amd64 6.5+20250216-2
2026-02-07 12:37:36 install libudev1:amd64 <none> 257.9-1~deb13u1
2026-02-07 12:37:36 status half-installed libudev1:amd64 257.9-1~deb13u1
2026-02-07 12:37:36 status unpacked libudev1:amd64 257.9-1~deb13u1
2026-02-07 12:37:36 install libuuid1:amd64 <none> 2.41-5
2026-02-07 12:37:36 status half-installed libuuid1:amd64 2.41-5
2026-02-07 12:37:36 status unpacked libuuid1:amd64 2.41-5
2026-02-07 12:37:36 install libxxhash0:amd64 <none> 0.8.3-2
2026-02-07 12:37:36 status half-installed libxxhash0:amd64 0.8.3-2
2026-02-07 12:37:36 status unpacked libxxhash0:amd64 0.8.3-2
2026-02-07 12:37:36 install libzstd1:amd64 <none> 1.5.7+dfsg-1
2026-02-07 12:37:36 status half-installed libzstd1:amd64 1.5.7+dfsg-1
2026-02-07 12:37:36 status unpacked libzstd1:amd64 1.5.7+dfsg-1
2026-02-07 12:37:36 install login:amd64 <none> 1:4.16.0-2+really2.41-5
2026-02-07 12:37:36 status half-installed login:amd64 1:4.16.0-2+really2.41-5
2026-02-07 12:37:36 status unpacked login:amd64 1:4.16.0-2+really2.41-5
2026-02-07 12:37:36 install login.defs:all <none> 1:4.17.4-2
2026-02-07 12:37:36 status half-installed login.defs:all 1:4.17.4-2
2026-02-07 12:37:36 status unpacked login.defs:all 1:4.17.4-2
2026-02-07 12:37:36 upgrade mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2026-02-07 12:37:36 status half-configured mawk:amd64 1.3.4.20250131-1
2026-02-07 12:37:36 status unpacked mawk:amd64 1.3.4.20250131-1
2026-02-07 12:37:36 status half-installed mawk:amd64 1.3.4.20250131-1
2026-02-07 12:37:36 status unpacked mawk:amd64 1.3.4.20250131-1
2026-02-07 12:37:36 install mount:amd64 <none> 2.41-5
2026-02-07 12:37:36 status half-installed mount:amd64 2.41-5
2026-02-07 12:37:36 status unpacked mount:amd64 2.41-5
2026-02-07 12:37:36 install ncurses-base:all <none> 6.5+20250216-2
2026-02-07 12:37:36 status half-installed ncurses-base:all 6.5+20250216-2
2026-02-07 12:37:36 status unpacked ncurses-base:all 6.5+20250216-2
2026-02-07 12:37:36 install ncurses-bin:amd64 <none> 6.5+20250216-2
2026-02-07 12:37:36 status half-installed ncurses-bin:amd64 6.5+20250216-2
2026-02-07 12:37:36 status unpacked ncurses-bin:amd64 6.5+20250216-2
2026-02-07 12:37:36 install openssl-provider-legacy:amd64 <none> 3.5.4-1~deb13u1
2026-02-07 12:37:36 status half-installed openssl-provider-legacy:amd64 3.5.4-1~deb13u1
2026-02-07 12:37:36 status unpacked openssl-provider-legacy:amd64 3.5.4-1~deb13u1
2026-02-07 12:37:36 install passwd:amd64 <none> 1:4.17.4-2
2026-02-07 12:37:36 status half-installed passwd:amd64 1:4.17.4-2
2026-02-07 12:37:36 status unpacked passwd:amd64 1:4.17.4-2
2026-02-07 12:37:36 upgrade perl-base:amd64 5.40.1-6 5.40.1-6
2026-02-07 12:37:36 status half-configured perl-base:amd64 5.40.1-6
2026-02-07 12:37:36 status unpacked perl-base:amd64 5.40.1-6
2026-02-07 12:37:36 status half-installed perl-base:amd64 5.40.1-6
2026-02-07 12:37:36 status unpacked perl-base:amd64 5.40.1-6
2026-02-07 12:37:36 install sed:amd64 <none> 4.9-2
2026-02-07 12:37:36 status half-installed sed:amd64 4.9-2
2026-02-07 12:37:36 status unpacked sed:amd64 4.9-2
2026-02-07 12:37:36 install sqv:amd64 <none> 1.3.0-3+b2
2026-02-07 12:37:36 status half-installed sqv:amd64 1.3.0-3+b2
2026-02-07 12:37:37 status unpacked sqv:amd64 1.3.0-3+b2
2026-02-07 12:37:37 install sysvinit-utils:amd64 <none> 3.14-4
2026-02-07 12:37:37 status half-installed sysvinit-utils:amd64 3.14-4
